
========================================================================
  ALL-TRACKS COMPREHENSIVE RESULTS REPORT
  Generated : 2026-05-19
  Tracks    : CharlesTown, Delta Downs, Evangeline Downs, Fair Grounds, Fairmount Park, Gulfstream Park, Mahoning Valley
  Min starts: 5 (trainers/jockeys) | 3+ wins (iron horses)
========================================================================


========================================================================
  TRACK: CHARLESTOWN
  Files : 394 processed  |  0 skipped
  Races : 3233
========================================================================

  -- TRAINER WIN STATS (min 5 starts) --
  Name                               Sts    W    Win%   Avg $Win
  Joy,                Kevin           11    0    0.0%        ---
  Pearson, Michael                     9    0    0.0%        ---
  Nambo, Cesar                         6    0    0.0%        ---
  Runco,                Jeff           8    0    0.0%        ---
  Lucas,                Anthony        6    0    0.0%        ---
  Grams,                Timothy       14    0    0.0%        ---
  Rojas, Murray                        7    0    0.0%        ---
  Peltroche,                Vanessa    13    0    0.0%        ---
  Cooney, Susan                       13    0    0.0%        ---
  Ramgeet, Andre                      11    0    0.0%        ---
  McMahon, W.                          7    0    0.0%        ---
  Barton, Amanda                       7    0    0.0%        ---
  Johnson,                Dewayne      5    0    0.0%        ---
  Dilodovico, Damon                    7    0    0.0%        ---
  Keller,                Christopher     7    0    0.0%        ---
  Spriggs,                Toschia      6    0    0.0%        ---
  Simone, Michael                      9    0    0.0%        ---
  Calhoun,                Amanda       6    0    0.0%        ---
  Espinosa, Victor                    35    0    0.0%        ---
  Huffman, J.                          8    0    0.0%        ---
  Cash, Norman                         8    0    0.0%        ---
  Inirio, Carlos                       8    0    0.0%        ---
  Ramos Agosto,                Miguel     6    0    0.0%        ---
  Tobin,                Edwin          6    0    0.0%        ---
  Rawlings, Amanda                     8    0    0.0%        ---
  Gilbert, Julia                      16    0    0.0%        ---
  Jackson,                Sherry       5    0    0.0%        ---
  Laguna, Homero                      14    0    0.0%        ---
  Craig, Jr.,                Lewis     5    0    0.0%        ---
  Harrison,                Glenn       5    0    0.0%        ---
  Garrido, Raul                       20    0    0.0%        ---
  Harigeorgiou,                Konstantinos     5    0    0.0%        ---
  Gillespie,                Ryan       7    0    0.0%        ---
  Hillegass,                Alexandra     5    0    0.0%        ---
  Aguirre, Jr., Anthony               13    0    0.0%        ---
  Reynolds,                Joan        6    0    0.0%        ---
  Jones,                Jr., Michael     9    0    0.0%        ---
  Gazzier,                Kristy       5    0    0.0%        ---
  Hummer, Richard                     13    0    0.0%        ---
  Rideoutt II,                Anthony     8    0    0.0%        ---

  -- JOCKEY WIN STATS (min 5 starts) --
  Name                               Sts    W    Win%   Avg $Win
  --------------------------------  ----  ---  ------  ---------
  Bocachica, Arnaldo                1376  435   31.6%      $5.48
  Mendez, Marshall                   985  149   15.1%      $8.87
  Latchman, Reshawn                  719  137   19.1%      $9.51
  Acosta, J.                        1099  129   11.7%     $11.62
  Araujo, Denis                      888  126   14.2%     $10.30
  Maldonado, Christian               835  118   14.1%     $10.49
  Hiraldo, Christian                 921  117   12.7%     $12.67
  Nunez, Juan                        870  112   12.9%     $11.33
  Rodriguez, Victor                  942  108   11.5%     $13.78
  Lewis, Justin                      954  105   11.0%     $17.35
  Cruz, Angel                        469   94   20.0%      $9.41
  Peltroche, Fredy                   695   89   12.8%     $11.55
  Chilo, Maximo                      935   83    8.9%     $16.57
  Reynolds, Larry                    428   82   19.2%      $7.01
  Santaella, Moises                  433   81   18.7%      $7.89
  Lopez, Carlos                      341   68   19.9%      $7.64
  Diaz, Jr., Sunday                  645   66   10.2%      $9.81
  Bocachica, Abnel                   571   62   10.9%     $15.33
  Bocachica, Orlando                 478   59   12.3%     $11.69
  Larrosa, Gustavo                   544   54    9.9%     $16.25
  Lopez, Antonio                     339   49   14.5%     $11.27
  Belisario, Juan                    251   48   19.1%     $12.47
  Ho, Wesley                         406   48   11.8%     $10.36
  Thorpe, Darius                     271   37   13.7%     $10.88
  Barbosa, Jeiron                    179   35   19.6%      $7.33
  Ebow III, Warren                   234   34   14.5%     $10.32
  Rivera, Javier                     355   33    9.3%     $13.10
  Cullum, Walter                     241   32   13.3%     $15.97
  Radcliffe, Anthony                 297   29    9.8%     $17.74
  Chavez, Andres                     204   28   13.7%      $8.20
  Stokes, Joe                        214   27   12.6%     $12.01
  Batista, Luis                      246   25   10.2%     $10.42
  Mawing, Anthony                    337   25    7.4%     $11.73
  Whitacre, Grant                    140   23   16.4%      $9.95
  Almodovar, Gerald                  181   21   11.6%      $9.12
  Montano, Jose                      141   20   14.2%      $8.29
  Santiago, Wilfredo                 197   18    9.1%     $18.58
  Cespedes, Jhorma                   169   16    9.5%     $11.75
  Trotman, Keimar                    136   15   11.0%     $11.04
  Jorge, Julio                       170   13    7.6%     $14.51
  Arroyo Bueno, Nomar                 86   12   14.0%      $6.12
  Peltroche, Elias                    54   11   20.4%      $8.55
  Reap, Megan                         97   11   11.3%     $36.15
  Rios-Conde, Jr., Alexis            170   10    5.9%     $16.48
  Davis, Jacqueline                  152    9    5.9%     $22.18
  Marrero, Carlos                    102    8    7.8%     $16.98
  Robles, Ederik                      47    7   14.9%      $4.54
  Ortiz, Yomar                        53    7   13.2%      $7.51
  Perez, Xavier                       14    6   42.9%      $5.57
  Hernandez, Julio                    21    6   28.6%      $6.23
  Hernandez, Jorge                    33    6   18.2%      $6.73
  Cacha-Padilla, Benjamin             64    6    9.4%     $36.10
  Espinoza, Alexis                   143    6    4.2%     $11.47
  Beato, Inoel                        19    5   26.3%     $14.92
  Mena, Raul                          21    5   23.8%     $13.80
  Hiraldo, John                       83    5    6.0%     $25.36
  Adams, James                       149    5    3.4%      $9.08
  Gonzalez, Jorge                     10    4   40.0%      $7.05
  Briceno, Jean                       18    4   22.2%      $3.40
  Raspaldo, Jahnxander                25    4   16.0%     $13.85
  Batista, Jan                        40    4   10.0%     $21.50
  Yancapallo Gomocio, Shirley         64    4    6.2%     $14.65
