
========================================================================
  ALL-TRACKS COMPREHENSIVE RESULTS REPORT
  Generated : 2026-05-19
  Tracks    : CharlesTown, Delta Downs, Evangeline Downs, Fair Grounds, Fairmount Park, Gulfstream Park, Mahoning Valley
  Min starts: 5 (trainers/jockeys) | 3+ wins (iron horses)
========================================================================


========================================================================
  TRACK: CHARLESTOWN
  Files : 394 processed  |  0 skipped
  Races : 3233
========================================================================

  -- TRAINER WIN STATS (min 5 starts) --
  Name                               Sts    W    Win%   Avg $Win
  Saville, Niall                       5    0    0.0%        ---
  Lawrence, Dalton                    13    0    0.0%        ---
  De La                Cerda, Armando     7    0    0.0%        ---
  Lopez                Olmeda, Rachel     5    0    0.0%        ---
  Viands, Gregory                     15    0    0.0%        ---
  Rivera, Xavier                       8    0    0.0%        ---
  Lutchman,                Padarath    11    0    0.0%        ---
  Barboza, Jr.,                Victor    14    0    0.0%        ---
  Potts, Ron                           7    0    0.0%        ---
  Abreu,                Fernando      13    0    0.0%        ---
  Sciametta, Jr., Anthony              7    0    0.0%        ---
  Parbhoo,                Shivananda     5    0    0.0%        ---
  Joseph, Jr.,                Saffie    40    0    0.0%        ---
  Sierra,                Ruben        11    0    0.0%        ---
  Dobles,                Elizabeth     9    0    0.0%        ---
  Gonzalez,                Oscar       8    0    0.0%        ---
  Rodriguez,                Roderick     8    0    0.0%        ---
  Irion, Heather                       7    0    0.0%        ---
  Gonzalez, Donaldo                   13    0    0.0%        ---
  Catanese                III, Joseph     5    0    0.0%        ---
  Marrero, Nestor                      8    0    0.0%        ---
  Clement,                Christophe     7    0    0.0%        ---
  Cazares,                Laura        6    0    0.0%        ---
  Dobles, Samantha                     6    0    0.0%        ---
  Smullen,                Heather     15    0    0.0%        ---
  Rodriguez,                Angel      8    0    0.0%        ---
  Perez,                Carlos         6    0    0.0%        ---
  Dougherty, Devon                     9    0    0.0%        ---
  Cascallares,                Nestor     8    0    0.0%        ---
  Vazquez, Jose Juan                   8    0    0.0%        ---
  Trask, Benjamin                     25    0    0.0%        ---
  Giddings,                Melanie     7    0    0.0%        ---
  Deaton, William                     33    0    0.0%        ---
  Ocasio, Osvaldo                      5    0    0.0%        ---
  Lafond, Renico                      15    0    0.0%        ---
  Kutt, Donna                          9    0    0.0%        ---
  Preciado,                Guadalupe    10    0    0.0%        ---
  Jehaludi,                Mohamed     5    0    0.0%        ---
  Ladouceur, Harold                    6    0    0.0%        ---
  Nunez,                Milton         5    0    0.0%        ---
  Lawrence II, James                   8    0    0.0%        ---
  De La Cerda,                Armando    12    0    0.0%        ---
  Rountree, Cathy                      5    0    0.0%        ---
  Contessa, Gary                       5    0    0.0%        ---
  Joseph,                Jr., Saffie     7    0    0.0%        ---
  Munoz,                Carlos         5    0    0.0%        ---
  Negrete,                Javier       6    0    0.0%        ---
  Duncan, Christopher                 16    0    0.0%        ---
  Campos,                Bernardo      6    0    0.0%        ---
  Duffy, Sean                         20    0    0.0%        ---
  Winebaugh,                Cheryl     5    0    0.0%        ---
  Hamm, Timothy                        7    0    0.0%        ---
  Mott,                William        10    0    0.0%        ---
  Baxter,                Georgina      7    0    0.0%        ---
  Quiroz,                Angel         6    0    0.0%        ---
  Cadahia,                Benny        6    0    0.0%        ---
  Fisher, David                       14    0    0.0%        ---
  Gonzalez, Luis                      19    0    0.0%        ---
  Davis, Scooter                       6    0    0.0%        ---
  Jehaludi, Amzadali                  21    0    0.0%        ---
  Barboza,                Jr., Victor     8    0    0.0%        ---
  Matz,                Michael         6    0    0.0%        ---
  Hurtak,                Daniel        5    0    0.0%        ---
  Seale, Christopher                   9    0    0.0%        ---
  Pletcher,                Todd        9    0    0.0%        ---
  Lerman,                Michael       6    0    0.0%        ---
  Grossman, Bruce                      7    0    0.0%        ---
  Fawkes,                David        15    0    0.0%        ---
  Tharrenos,                William     5    0    0.0%        ---
  Delgado,                Jorge        8    0    0.0%        ---
  Catanese III,                Joseph    17    0    0.0%        ---
  Terranova II, John                  10    0    0.0%        ---

  -- JOCKEY WIN STATS (min 5 starts) --
  Name                               Sts    W    Win%   Avg $Win
  --------------------------------  ----  ---  ------  ---------
  Zayas, Edgard                     2317  431   18.6%      $8.06
  Vasquez, Miguel                   2317  336   14.5%     $12.15
  Gonzalez, Edwin                   1659  301   18.1%     $10.03
  Jaramillo, Emisael                1485  291   19.6%      $9.68
  Ortiz, Jr., Irad                  1100  266   24.2%      $6.18
  Reyes, Leonel                     1788  211   11.8%     $13.59
  Morelos, Jose                     1652  199   12.0%     $15.39
  Gaffalione, Tyler                 1037  161   15.5%     $10.34
  Lopez, Paco                        868  156   18.0%      $8.42
  Saez, Luis                         853  137   16.1%      $9.13
  Perez, Edgar                      1264  123    9.7%     $13.20
  Husbands, Micah                    638  104   16.3%     $10.62
  Alvarado, Junior                   646  100   15.5%     $10.35
  Castellano, Javier                 708   97   13.7%     $10.80
  Ruiz, Jorge                        831   92   11.1%     $15.36
  Bravo, Joe                         631   86   13.6%     $12.20
  Velazquez, John                    533   83   15.6%      $9.90
  Maragh, Rajiv                      733   83   11.3%     $14.52
  IRE                                556   82   14.7%      $9.12
  Panici, Luca                      1018   81    8.0%     $14.36
  Ortiz, Jose                        368   76   20.7%      $8.19
  Torres, Yolber                     716   76   10.6%     $16.54
  Rios, Jesus                        596   72   12.1%     $17.39
  Camacho, Samy                      366   61   16.7%     $11.05
  Ocasio, Jonathan                   695   59    8.5%     $16.90
  Leon, Sonny                        485   58   12.0%     $14.54
  Egan, David                        436   54   12.4%     $13.49
  Gil, Cipriano                      537   54   10.1%     $13.86
  Meneses, Marcos                    448   47   10.5%     $14.63
  Van Dyke, Drayden                  304   45   14.8%     $10.40
  Davis, Dylan                       325   41   12.6%     $12.21
  Trejos, Joseph                     372   32    8.6%     $17.03
  Gonzalez, Melvis                   268   29   10.8%     $14.46
  Rosario, Joel                      173   28   16.2%      $8.24
  Thomas, Anthony                    255   26   10.2%     $19.86
  Herrera, Diego                     124   25   20.2%      $9.39
  Gutierrez, Reylu                   226   25   11.1%      $9.74
  Ferrer, Jose                       256   25    9.8%     $20.94
  Fuenmayor, Luis                    305   22    7.2%     $15.29
  Greenidge, Elijah                  356   21    5.9%     $17.67
  Gutierrez, Mario                   143   19   13.3%      $6.24
  GB                                 187   19   10.2%      $8.04
  Rojas, Renzo                       374   19    5.1%     $26.23
  Karamanos, Horacio                 165   14    8.5%     $17.67
  CHI                                112   12   10.7%     $13.18
  FR                                 113   12   10.6%      $8.28
  Diaz, Jr., Hector                  153   11    7.2%     $16.45
  Moran, Pietro                       38    9   23.7%     $10.71
  Henry, Wesley                      102    9    8.8%     $29.76
  Prat, Flavien                       40    8   20.0%      $7.65
  Nicholls, Mia                      115    8    7.0%     $26.30
  Martinez, Carlos                   122    8    6.6%     $11.20
  Figueroa, Heriberto                193    8    4.1%     $37.38
  Bracho, Richard                     49    7   14.3%     $14.94
  Marin, Samuel                       63    6    9.5%      $7.47
  Davis, Katie                        70    6    8.6%     $12.20
  Lugo, Carlos                        74    6    8.1%     $15.10
  ARG                                 77    6    7.8%     $11.93
  Juarez, Nik                         94    6    6.4%     $12.00
  Bridgmohan, Shaun                  108    6    5.6%     $10.83
  Rivera, Jon                        120    6    5.0%      $9.23
  Pimentel, Jr., Ivan                128    6    4.7%     $21.30
  BRZ                                 29    5   17.2%      $7.08
  Spanabel, Skyler                   102    5    4.9%     $21.76
  Leon, Jose                         105    5    4.8%     $17.76
  Hughes, Rasheed                     10    4   40.0%      $9.20
  Elliott, Christopher                14    4   28.6%      $6.80
  Hazelwood, Teshawn                  33    4   12.1%     $10.10
  Vasquez, Wilfred                    49    4    8.2%     $16.20
  Jara, Fernando                      51    4    7.8%     $15.75
  SAF                                 10    3   30.0%      $7.20
  Franco, Manuel                      14    3   21.4%     $10.87
  Rojas, Carlos                       26    3   11.5%     $12.13
  Gonzalez, Jorge                     46    3    6.5%     $55.73
  Cheminaud, Vincent                  47    3    6.4%     $11.13
  Rivera, Dalila                      48    3    6.2%     $14.60
  Morales, Angel                     132    3    2.3%     $17.53
  Kingsley, Taylor                     7    2   28.6%     $19.10
  Husbands, Patrick                    9    2   22.2%     $12.80
  Villalobos, Ismerio                 12    2   16.7%     $36.80
  Leparoux, Julien                    18    2   11.1%      $3.70
  Desormeaux, Kent                    18    2   11.1%      $7.40
  Arrieta, Francisco                  18    2   11.1%      $3.30
  Hernandez, Maikol                   30    2    6.7%      $7.40
  Murphy, Oisin                       34    2    5.9%     $18.60
  Dettori, Lanfranco                  36    2    5.6%     $15.70
  Boraco, David                      161    2    1.2%     $16.00
  Slevinsky, Rachel                    5    1   20.0%      $5.00
  Casique, Ubardo                      5    1   20.0%     $16.00
  Jasim, A. Rahim                      6    1   16.7%      $6.00
  Geroux, Florent                      6    1   16.7%     $40.40
  Krigger, Kevin                       9    1   11.1%      $8.20
  Urdaneta, Jorge                      9    1   11.1%     $21.00
  Cancel, Eric                         9    1   11.1%     $17.40
  JPN                                  9    1   11.1%      $4.80
  Maldonado, Gabriel                  10    1   10.0%      $9.80
  Emigh, Christopher                  10    1   10.0%     $19.80
  Chuan, Martin                       12    1    8.3%      $5.80
  Zerpa, Jose                         12    1    8.3%     $11.80
  Batista, Alexis                     13    1    7.7%    $120.20
  Mejias, Kleiner                     14    1    7.1%     $30.00
  Torres, Raymond                     14    1    7.1%      $6.00
  Hartsmar, Cornelia                  21    1    4.8%     $21.20
  Gomez, Jose                         25    1    4.0%      $9.00
  Maragh, Romero                      25    1    4.0%      $7.40
  Camacho, Jr., Samuel                26    1    3.8%     $35.20
  Santos, Ademar                      26    1    3.8%     $22.80
  Salles, Leo                         28    1    3.6%     $10.00
  Rodriguez, Juan                     33    1    3.0%      $9.20
  Otero, Aarom                        40    1    2.5%    $101.20
  Martinez, Rey                       40    1    2.5%     $37.80
  Boulanger, Brandon                  36    0    0.0%        ---
  Gonzalez, Alex                       6    0    0.0%        ---
  Maragh, Christian                   31    0    0.0%        ---
  Maragh, Tony                         8    0    0.0%        ---
  Parish, Ramon                        7    0    0.0%        ---
  Santiago, Eddie                      7    0    0.0%        ---
  Melean, Manuel                      23    0    0.0%        ---
  Torrealba, Jose                     10    0    0.0%        ---
  Olivero, Carlos                      6    0    0.0%        ---
  Medina, Aby                          5    0    0.0%        ---
  Sanchez, Cesar                       6    0    0.0%        ---
  Lopez, Jose                         37    0    0.0%        ---
  Spieth, Scott                        6    0    0.0%        ---
  Serpa, Angel                        11    0    0.0%        ---
  Levey, Sean                          8    0    0.0%        ---
  Suarez, Jesus                       14    0    0.0%        ---
  Bossa, Federico                      5    0    0.0%        ---
  Nelson, Tyrone                       6    0    0.0%        ---
  PER                                 21    0    0.0%        ---
  Galvan, Jhair                       12    0    0.0%        ---
  Saez, Sebastian                      5    0    0.0%        ---
  Huayas, Gherson (Jason              11    0    0.0%        ---
  Diaz, Sunday                        13    0    0.0%        ---
  Arroyo, Miguel                      28    0    0.0%        ---
  Landeros, Chris                     56    0    0.0%        ---
  Moreno, Angel                        5    0    0.0%        ---
  Berrios, Hector                      6    0    0.0%        ---
  Bravo, Maikel                        8    0    0.0%        ---
  Mbatha, Lucky                       13    0    0.0%        ---
  Hernandez, Jr., Brian                5    0    0.0%        ---
  Glass, Derbe                         5    0    0.0%        ---
  Leon, Anisete                        6    0    0.0%        ---
  AUS                                  6    0    0.0%        ---
  Torres, Jaime                        7    0    0.0%        ---
  Torrealba, J.G.                     22    0    0.0%        ---
  Lanerie, Corey                      31    0    0.0%        ---
  Toro, Jose                          17    0    0.0%        ---
  Asmussen, Keith                      7    0    0.0%        ---
  Arrieta, Reynier                    10    0    0.0%        ---

  -- SIRE WIN COUNTS --
  Sire                                    W
  ------------------------------------  ---
  Khozan                                106
  Bucchero                              104
  Neolithic                             101
  Girvin                                 82
  Adios Charlie                          81
  The Big Beast                          73
  Constitution                           66
  Into Mischief                          64
  Awesome Slew                           62
  Mendelssohn                            56
  Munnings                               51
  Cajun Breeze                           49
  Practical Joke                         48
  Win Win Win                            46
  Kantharos                              45
  Brethren                               44
  Valiant Minister                       43
  Twirling Candy                         43
  Uncle Mo                               42
  Not This Time                          41
  Omaha Beach                            38
  American Pharoah                       36
  Vino Rosso                             35
  More Than Ready                        35
  Vekoma                                 35
  Noble Bird                             34
  Oscar Performance                      33
  Mo Town                                32
  Hard Spun                              31
  Nyquist                                31
  Collected                              30
  Speightstown                           29
  Goldencents                            29
  Justify                                28
  Gun Runner                             28
  Tapiture                               27
  Maximus Mischief                       27
  Quality Road                           26
  Classic Empire                         26
  Violence                               26
  Blame                                  26
  Lookin At Lucky                        25
  Curlin                                 25
  Always Dreaming                        25
  Uncaptured                             25
  Frosted                                25
  Tiz the Law                            25
  Cairo Prince                           24
  Mitole                                 24
  City of Light                          24
  War Front                              24
  Midshipman                             23
  Accelerate                             23
  Audible                                23
  Take Charge Indy                       23
  Authentic                              23
  Instagrand                             23
  Enticed                                22
  Good Samaritan                         22
  Flameaway                              22
  Street Boss                            22
  Ghostzapper                            21
  War of Will                            21
  Street Sense                           20
  Speightster                            20
  English Channel                        20
  Bee Jersey                             20
  Union Rags                             18
  Tonalist                               18
  The Factor                             18
  McKinzie                               18
  Rogueish                               17
  Summer Front                           17
  Cloud Computing                        17
  Cross Traffic                          17
  World of Trouble                       17
  Dialed In                              17
  West Coast                             17
  Connect                                17
  War Dancer                             16
  Malibu Moon                            16
  Good Magic                             16
  Lord Nelson                            16
  Leinster                               16
  Wicked Strong                          15
  Handsome Mike                          15
  Sweetontheladies                       15
  Mshawish                               14
  Awesome of Course                      14
  Runhappy                               14
  Battalion Runner                       14
  Gone Astray                            14
  Thousand Words                         14
  Volatile                               14
  Charlatan                              14
  Palace Malice                          13
  Big Drama                              13
  Flatter                                13
  Coal Front                             13
  Bahamian Squall                        13
  Improbable                             13
  Get Stormy                             12
  First Dude                             12
  Arrogate                               12
  Race Day                               12
  Air Force Blue                         12
  Global Campaign                        12
  Spun to Run                            12
  Game Winner                            12
  Promises Fulfilled                     12
  Tapwrit                                11
  Sky Mesa                               11
  No Nay Never                           11
  Army Mule                              11
  Laoban                                 11
  Tunwoo                                 11
  Caravaggio                             11
  Gunnevera                              11
  Echo Town                              11
  Bernardini                             10
  Field Commission                       10
  Unified                                10
  Chitu                                  10
  Greenpointcrusader                     10
  Exaggerator                            10
  Social Inclusion                       10
  Jimmy Creed                            10
  California Chrome                      10
  Catholic Boy                           10
  Gormley                                10
  Catalina Cruiser                       10
  Caracaro                               10
  Breaking Lucky                         10
  Palace                                  9
  Mucho Macho Man                         9
  Klimt                                   9
  Tapit                                   9
  Signature Red                           9
  Souper Speedy                           9
  Complexity                              9
  Copper Bullet                           9
  Mr. Money                               9
  Honor A. P                              9
  Uncle Chuck                             9
  Outwork                                 8
  Anchor Down                             8
  Cupid                                   8
  Competitive Edge                        8
  Solomini                                8
  Declaration of War                      8
  Do the Roar                             8
  Midnight Storm                          8
  Gift Box                                8
  Destin                                  7
  Mohaymen                                7
  Bodemeister                             7
  Divisidero                              7
  Tale of Ekati                           7
  Eskendereya                             7
  Carpe Diem                              7
  First Samurai                           7
  Sharp Azteca                            7
  Ride On Curlin                          7
  Decisive Moment                         7
  Protonico                               7
  Higher Power                            7
  Preservationist                         6
  Heart to Heart                          6
  Ransom the Moon                         6
  Keen Ice                                6
  Sky Kingdom                             6
  Broken Vow                              6
  Ironicus                                6
  Temple City                             6
  Midnight Lute                           6
  Coach Bob                               6
  Chance It                               6
  Bullet Gone Astray                      5
  Will Take Charge                        5
  Seek Again                              5
  Cordon                                  5
  Commissioner                            5
  Long On Value                           5
  Paynter                                 5
  American Freedom                        5
  Mastery                                 5
  Fort Loudon                             5
  Upstart                                 5
  Algorithms                              5
  Dominus                                 5
  Yaupon                                  5
  Code of Honor                           5
  Silver State                            5
  Basin                                   5
  Sea Wizard                              4
  Creative Cause                          4
  Include                                 4
  Empire Maker                            4
  Indian Evening                          4
  Boisterous                              4
  Fed Biz                                 4
  Frank Conversation                      4
  Soldat                                  4
  Majestic City                           4
  Honest Mischief                         4
  Dak Attack                              4
  Rock Your World                         4
  Knicks Go                               4
  Lexitonian                              4
  Editorial                               3
  Uncle Lino                              3
  Tiznow                                  3
  Honor Code                              3
  Bustin Stones                           3
  Big Screen                              3
  Lemon Drop Kid                          3
  Pioneerof the Nile                      3
  U S Navy Flag                           3
  Uncle Vinny                             3
  Bayern                                  3
  Personal Interest                       3
  Jack Milton                             3
  Fast Anna                               3
  Shaman Ghost                            3
  Star Guitar                             3
  Gemologist                              3
  Daredevil                               3
  Shancelot                               3
  Instilled Regard                        3
  Tourist                                 3
  Gary D                                  3
  Rainbow Heir                            3
  Reload                                  3
  Orb                                     3
  Finale                                  3
  Verrazano                               3
  Awesome Patriot                         3
  Danzing Candy                           3
  Known Agenda                            3
  By My Standards                         3
  Independence Hall                       3
  Tathqeef                                3
  Hootenanny                              2
  We Miss Artie                           2
  Mineshaft                               2
  Oxbow                                   2
  Secret Circle                           2
  Point of Entry                          2
  Mizzen Mast                             2
  Camelot Kitten                          2
  Tamarkuz                                2
  Distorted Humor                         2
  Exchange Rate                           2
  Strong Mandate                          2
  Tale of Verve                           2
  Frac Daddy                              2
  Prospective                             2
  Hit It a Bomb                           2
  McCraken                                2
  Stanford                                2
  Daddy Long Legs                         2
  Central Banker                          2
  Free Drop Billy                         2
  Tapizar                                 2
  Union Jackson                           2
  Overanalyze                             2
  Far From Over                           2
  Funtastic                               2
  Forestry                                2
  Fog of War                              2
  Smiling Tiger                           2
  Golden Lad                              2
  Hoppertunity                            2
  Lancaster Bomber                        2
  Holy Boss                               2
  Hello Broadway                          2
  Modernist                               2
  Mr. Z                                   2
  Maximum Security                        2
  Essential Quality                       2
  Weekend Hideaway                        2
  Om                                      2
  Tacitus                                 2
  Cabo Lobo                               2
  Hunters Bay                             2
  Maxfield                                2
  Graydar                                 1
  Itsmyluckyday                           1
  Acclamation                             1
  Court Vision                            1
  Great Success                           1
  Girolamo                                1
  Orpen                                   1
  Astrology                               1
  Black Onyx                              1
  Great Notion                            1
  Eclipticalspraline                      1
  Country Day                             1
  Ocean Knight                            1
  Stay Thirsty                            1
  Pavel                                   1
  Revolutionary                           1
  Giant Gizmo                             1
  Animal Kingdom                          1
  Misremembered                           1
  Big Brown                               1
  Global Response                         1
  Two Step Salsa                          1
  Shakin It Up                            1
  Super Saver                             1
  Redesdale                               1
  Afleet Alex                             1
  Alliance                                1
  Big Band Sound                          1
  Mosler                                  1
  Shackleford                             1
  Country House                           1
  Alternation                             1
  Bellamy Road                            1
  Wicked Strike                           1
  Forty Tales                             1
  Run Away and Hide                       1
  Atreides                                1
  Trappe Shot                             1
  Mor Spirit                              1
  Frost Giant                             1
  Artie Schiller                          1
  Iqbaal                                  1
  Effinex                                 1
  Dramedy                                 1
  Tizway                                  1
  Seeking the Soul                        1
  Mr Speaker                              1
  Dads Caps                               1
  Rowayton                                1
  Killargue                               1
  Timeline                                1
  Mr. Scotty                              1
  Smokem                                  1
  Lea                                     1
  Micromanage                             1
  Overdriven                              1
  Yes We Can                              1
  Superestrella                           1
  Tale of the Cat                         1
  Grazen                                  1
  Curds                                   1
  Easing Along                            1
  Square Eddie                            1
  Core Beliefs                            1
  Backtalk                                1
  Engage                                  1
  Galilean                                1
  Leofric                                 1
  Mo Forza                                1
  Mission Impazible                       1
  Divining Rod                            1
  Yorkton                                 1
  Freud                                   1
  Beau Liam                               1
  Roadster                                1
  Life Is Good                            1
  Achikulak                               1
  Rushie                                  1

  -- IRON HORSES (3+ wins) --
  Horse                                   W
  ------------------------------------  ---
  Ashima                                 10
  Rezasrolex                             10
  Mr Narcissistic                         9
  Misprint                                9
  Light Fury                              9
  Amor Y Control                          8
  Goodbetterbest                          7
  Mywifeknowsitall                        7
  Prevent                                 7
  Private Thoughts                        7
  Great Venezuela                         7
  Heir to the Roar                        7
  King d'Oro                              7
  Pet Mat                                 7
  Nate the Great                          7
  Longbranch Lou                          7
  Sheshimaintenance                       7
  Solomons Gold                           6
  Battle of Dover                         6
  Chloe's Toy                             6
  Xy Speed                                6
  Cabernet                                6
  No Valla                                6
  One of One                              6
  Fly the W                               6
  Awesome Train                           6
  Julee's Legacy                          6
  Blast Radius                            6
  It's Only Words                         6
  Mom's Martini                           6
  Miss Mary Nell                          6
  Chaina                                  6
  Just a Philly                           6
  Rachel's Coach                          6
  Pop Rox                                 6
  Morgan Point                            5
  If Not for Luck                         5
  Uranium                                 5
  Epona's Hope                            5
  Reef Runner                             5
  Bringer of Rain                         5
  Belts 'n Brooks                         5
  Wicklow Gal                             5
  Flat Top Box                            5
  Drum Roll                               5
  Etendre                                 5
  Hot Blooded                             5
  Nantasket Beach                         5
  Tiffany Gold                            5
  Vindicate Cha Cha                       5
  Red Hot Spark                           5
  Swan Lake                               5
  Three Zero                              5
  Bold Advance                            5
  Lets Go Koko                            5
  Sheila's Mission                        5
  Back Em Up                              5
  Latch the Hatch                         5
  Silver Moonlight                        5
  Both Sides                              5
  Denver's Alley                          5
  Torch Is Passed                         5
  Zo Zucchera                             5
  Hollywood Mayhem                        5
  Royally Blue                            5
  Starship Impulsive                      5
  Oshala                                  5
  Mythical                                5
  Layabout                                5
  Lou the Body                            5
  Sneak Preview                           5
  Marshmallow Queen                       4
  Ro Town                                 4
  Globes                                  4
  Concrete Glory                          4
  Admiral Hopper                          4
  Commandant                              4
  Love Mami Love                          4
  Shaq Diesel                             4
  Echo Lane                               4
  Lady Emily Kathryn                      4
  Worldly Beauty                          4
  No Deliberation                         4
  Pure Class                              4
  Bird Wildcat                            4
  Adios Now                               4
  Broderie                                4
  Avant Glory                             4
  Tap Gold                                4
  Sand Dancer                             4
  Coppola                                 4
  Fast Fixer                              4
  Starship Mocha                          4
  Themanupfront                           4
  Speed Control                           4
  Just a Photo                            4
  Sals Dream Girl                         4
  Major King                              4
  Blue Slide Park                         4
  Gayles Evening                          4
  Beth's Dream                            4
  Mi Amore                                4
  Travel Happy                            4
  Knightsbridge                           4
  Moon Spun                               4
  Honesto                                 4
  Darling Darley                          4
  Raging Fury                             4
  Classic of Course                       4
  Founder's Day                           4
  Cap Ferrat                              4
  Icelander                               4
  Smart Jenny                             4
  Wiggle An' Wine                         4
  Vincey Girl                             4
  Smart Spending                          4
  Rated by Merit                          4
  Mobay Princess                          4
  Leprechauna                             4
  High Limit Room                         4
  Lace Up                                 4
  Hub City                                4
  Sarah's Dream                           4
  R Disaster                              4
  Garuda                                  4
  Fulanito                                4
  Rachels Song                            4
  Sweet Cha Cha                           4
  Sultan the Great                        4
  Most Handsome                           4
  Defended                                4
  Solidaria                               4
  Tinta Roja                              4
  Charlie's Beauty                        4
  Junction Road                           4
  Big Paradise                            4
  Edith                                   4
  Miguel's Belle                          4
  Asher's Edge                            4
  Goes the Clown                          4
  Mr Scatter                              4
  Rolando                                 4
  Tank                                    4
  Spicy Guacamole                         4
  China Blue                              4
  Banneker                                4
  Stroke of Midnight                      4
  Lynn's Milky Way                        4
  Mi Bago                                 4
  Air Force Cruising                      4
  Motown Mika                             4
  Slew Diva                               4
  Talbingo                                4
  Any Moment                              4
  Emirates Affair                         4
  Grande                                  4
  Iron Hand                               4
  Speed Figures                           4
  Diamonds N Thrills                      4
  Royal Poppy                             4
  Quizler                                 4
  Greenfield Cougar                       4
  World Traveler                          4
  Readier                                 4
  Happy Ride                              4
  Let's Dance Again                       4
  Compass Rises                           4
  Lennilu                                 4
  Corta Fuego                             4
  Venezuelan Hope                         4
  Golden Valley                           4
  Gallant Knight                          4
  Proud American                          4
  I Love Venezuela                        4
  To the Eastside                         4
  Roxy                                    4
  Calathea                                4
  Chicken Dance                           4
  Ditched                                 4
  Vuela Paloma                            4
  Fly Erik Fly                            4
  Maitre D                                4
  Final Payment                           4
  Strand of Gold                          3
  Jet Wings                               3
  Ekati King                              3
  Rough Draft                             3
  In a Jam                                3
  Adios Babe                              3
  Megan Makin Money                       3
  Party Shaker                            3
  General Ledger                          3
  Silent Heart                            3
  Warda                                   3
  Turn Up the Trees                       3
  Abrumar                                 3
  Karaya                                  3
  Swiss Slang                             3
  Just Take Notes                         3
  Grey Princess                           3
  And Uwish                               3
  Go Big Green                            3
  Amy the Butcher                         3
  Antillean                               3
  Cacciatore                              3
  Star of Saturn                          3
  Tidal Forces                            3
  Break Out                               3
  Gabagool                                3
  Lucy's Cookie                           3
  Breezer                                 3
  Real Macho                              3
  Stat                                    3
  Twirling Queen                          3
  Fortuna Belle                           3
  Trumpets                                3
  New Rome                                3
  Do Gooder                               3
  Silent and Violent                      3
  Seaver                                  3
  Cross Haste                             3
  Grimes                                  3
  Evanora                                 3
  Steal Sunshine                          3
  Movin' On Up                            3
  Team Captain                            3
  Dundie                                  3
  War Beat                                3
  Unrelentless                            3
  Seminole Chief                          3
  Sweet Rebecca                           3
  Now Showing                             3
  Big Effect                              3
  Condora                                 3
  Love Her Lots                           3
  Thenorthremembers                       3
  Bryce Canyon                            3
  Palace View                             3
  Haberdashery                            3
  Far Bridge                              3
  Confer                                  3
  De Regreso                              3
  Majestic Venezuela                      3
  Modern Lane                             3
  Makizan                                 3
  Patty's Having Fun                      3
  Luni Sima                               3
  Proverb                                 3
  Swashbuckle                             3
  Gallop d'Hermes                         3
  Test Factor                             3
  Dove in Charge                          3
  Cosmic Speculation                      3
  Super Freaky Girl                       3
  Boldness                                3
  Olga                                    3
  Parallel                                3
  Shankar                                 3
  Mister Abarrio                          3
  One Sharp Cookie                        3
  R Firebird                              3
  Foggy Note                              3
  Louie the Sun King                      3
  Dialithic                               3
  Vayesta                                 3
  Baytown Parfait                         3
  Girvin Girl                             3
  Doc Amster                              3
  Cajun Fantasy                           3
  Look Like It                            3
  Comedy Town                             3
  Talkin Tipsy                            3
  Manhattan Boy                           3
  Downing Street                          3
  Barry the Builder                       3
  Popstyle                                3
  Star of the Beast                       3
  Belly of Jelly                          3
  Etrurian                                3
  Beastly Speed                           3
  Win N Your In                           3
  Next Right Thing                        3
  Sunroof                                 3
  Unchained Elaine                        3
  Gossiper                                3
  Grand Tower                             3
  Haulin Ice                              3
  Souper Zonda                            3
  Naughty Rascal                          3
  Breezero                                3
  Bet Stormy                              3
  Andrea                                  3
  Coco Abarrio                            3
  Zozan                                   3
  R Morning Brew                          3
  Neoequos                                3
  Bad Gal Party                           3
  Brenna                                  3
  Plagne Champagne                        3
  Fields of Green                         3
  Woke Up Quick                           3
  Sound of the Beast                      3
  Line Astray                             3
  Major Pryce                             3
  Sting Music                             3
  Tinki Abarrio                           3
  Ensign Parker                           3
  Bold Looker                             3
  Mi Triguena                             3
  Fregon                                  3
  Noble Dreamer                           3
  Le Amazonia                             3
  Blaze of Color                          3
  Salvattore Prince                       3
  I Know I Know                           3
  Neophyte                                3
  Cajun Anthem                            3
  Bold N Breezy                           3
  Winooski                                3
  Saratoga Flash                          3
  Paschal Moon                            3
